hgnc_symbol	OrganelleDB.Score	Compartments.Score	CSPA.Score	LOCATE_score	LocDB.Score	GO.Score	Uniprot.Score	Goldstd.Score	Goldstd_result	NEG.control
76	ARRB2	1	1	0	0	0	0	1	0	no	1
77	ART1	1	1	0	0	0	1	0	0	no	0
78	ART3	1	1	0	0	0	1	0	0	no	0
79	ASGR1	1	1	0	0	0	1	0	0	no	1
80	ASH1L	1	0	0	0	0	0	0	0	no	1
81	ASIC4	1	1	0	1	0	1	0	0	no	0
82	ATP12A	1	1	0	1	0	1	0	0	no	0
83	ATP1A1	1	1	1	1	0	1	0	0	no	0
84	ATP1A2	1	1	0	1	0	1	0	0	no	0
85	ATP1A3	1	1	1	1	0	1	0	0	no	0
86	ATP1A4	1	1	0	1	0	1	0	0	no	0
87	ATP1B1	1	1	1	1	0	1	0	0	no	0
88	ATP1B3	1	1	1	1	0	1	0	1	YES	0
89	ATP1B4	1	1	0	0	0	1	0	0	no	0
90	ATP2A2	1	1	0	1	0	1	0	0	no	1
91	ATP2A3	1	0	0	1	0	0	0	0	no	0
92	ATP2B1	1	1	0	1	0	1	0	1	YES	0
93	ATP2B2	1	1	0	1	0	1	0	0	no	0
94	ATP2B3	1	1	0	1	0	1	0	1	YES	0
95	ATP2B4	1	1	0	1	0	1	0	1	YES	0
96	ATP4A	1	1	0	1	1	1	0	0	no	0
97	ATP6V1A	1	1	0	0	0	1	0	0	no	1
98	ATP6V1A2	1	0	0	0	0	0	0	0	no	0
99	ATP6V1B1	1	1	0	0	0	0	0	0	no	1
100	ATP6V1E1	1	1	0	0	0	0	0	0	no	1
101	ATP7A	1	1	0	1	0	0	1	0	no	1
102	ATP8B1	1	1	0	1	0	1	1	0	no	0
103	ATRN	1	1	1	1	1	1	0	0	no	1
104	AVPR1A	1	1	0	1	0	1	0	0	no	0
105	AVPR1B	1	1	0	1	0	1	0	0	no	0
106	AVPR2	1	1	0	1	0	1	0	0	no	0
107	AXL	1	1	1	1	0	1	0	0	no	0
108	B3GNT3	1	1	0	1	0	1	0	0	no	0
109	BACE1	1	1	1	1	1	1	1	1	YES	0
110	BAIAP2	1	1	0	0	0	0	0	1	YES	0
111	BASP1	1	1	0	0	0	0	0	1	YES	0
112	BCAM	1	1	1	1	0	1	0	0	no	1
113	BCAP31	1	1	0	0	0	1	0	0	no	1
114	BCAR1	1	0	0	0	0	0	0	1	YES	0
115	BDKRB1	1	1	0	1	0	1	0	0	no	0
116	BDKRB2	1	0	0	1	0	1	0	0	no	0
117	BLR1	1	0	0	0	0	0	0	0	no	0
118	BMPR1B	1	1	0	1	0	1	0	0	no	0
119	BPI	1	1	0	0	1	1	0	0	no	0
120	BRS3	1	1	0	1	1	0	0	0	no	0
121	BRUNOL4	1	0	0	0	0	0	0	0	no	0
122	BST2	1	1	1	0	0	1	1	1	YES	0
123	BTK	1	1	0	0	1	1	1	0	no	1
124	BTN1A1	1	1	0	0	0	1	0	0	no	0
125	BTN2A1	1	1	1	1	0	1	0	1	YES	0
126	C1QBP	1	1	0	0	1	0	0	1	YES	0
127	C3AR1	1	1	0	0	0	1	0	0	no	0
128	C5AR1	1	1	0	0	0	1	0	0	no	0
129	C9	1	1	0	0	0	1	1	1	YES	0
130	CACNA1B	1	1	0	1	0	0	0	0	no	0
131	CACNA1C	1	1	0	1	0	0	1	0	no	0
132	CACNA1D	1	1	0	1	0	0	0	0	no	1
133	CACNA1E	1	1	0	1	0	0	0	1	YES	0
134	CACNA1F	1	1	0	1	0	0	0	0	no	0
135	CACNA1H	1	1	0	1	0	1	1	0	no	1
136	CACNA1I	1	1	0	1	0	0	0	0	no	0
137	CACNA1S	1	1	0	1	0	0	0	0	no	0
138	CACNA2D1	1	1	1	1	0	0	0	0	no	0
139	CACNB1	1	1	0	0	0	0	0	0	no	0
140	CACNB2	1	1	0	0	0	1	0	0	no	0
141	CACNB3	1	1	0	0	0	0	0	0	no	1
142	CACNB4	1	1	0	0	0	0	0	0	no	0
143	CACNG1	1	1	0	1	0	0	0	0	no	0
144	CACNG2	1	1	0	1	0	1	0	0	no	0
145	CACNG3	1	1	0	0	0	1	0	0	no	0
146	CACNG6	1	1	1	1	0	0	0	0	no	1
147	CACNG8	1	1	0	1	0	1	1	0	no	0
148	CALCR	1	1	0	1	0	1	0	0	no	0
149	CALCRL	1	1	1	0	0	1	0	1	YES	0
150	CARD14	1	1	0	0	0	0	0	0	no	0
151	CASK	1	1	0	1	0	0	0	0	no	1
152	CASR	1	1	0	0	0	1	0	0	no	0
153	CAV1	1	1	0	1	1	1	0	0	no	1
154	CAV3	1	1	0	1	0	1	0	1	YES	0
155	CBL	1	1	0	0	0	0	1	0	no	1
156	CCBP2	1	0	0	0	0	0	0	0	no	0
157	CCKAR	1	1	0	0	1	1	0	0	no	0
158	CCKBR	1	1	0	0	0	0	0	0	no	0
159	CCR1	1	1	0	1	0	1	0	0	no	0
160	CCR10	1	1	0	0	1	1	0	0	no	1
161	CCR2	1	1	0	0	1	1	1	0	no	0
162	CCR3	1	1	0	1	0	1	0	0	no	0
163	CCR4	1	1	1	0	1	1	0	0	no	0
164	CCR5	1	1	0	1	1	1	0	0	no	0
165	CCR6	1	1	0	0	1	1	0	0	no	0
166	CCR7	1	1	1	1	1	0	0	0	no	1
167	CCR8	1	1	0	1	1	1	0	0	no	0
168	CCR9	1	1	0	0	1	1	0	0	no	0
169	CCRL1	1	0	0	0	0	0	0	0	no	0
170	CCRL2	1	1	0	0	0	1	0	0	no	0
171	CD14	1	1	1	0	1	1	0	0	no	1
172	CD151	1	1	1	1	1	1	0	0	no	0
173	CD160	1	1	1	0	0	1	0	0	no	0
174	CD163	1	1	1	1	0	1	0	1	YES	0
175	CD164	1	1	1	0	0	1	0	0	no	0
176	CD180	1	1	1	1	0	1	0	0	no	0
177	CD19	1	1	1	0	0	1	0	0	no	0
178	CD1D	1	1	1	0	0	1	1	0	no	1
179	CD1E	1	1	0	1	0	1	1	0	no	0
180	CD2	1	1	1	1	0	1	0	0	no	0
181	CD200	1	1	1	1	0	1	0	0	no	0
182	CD209L	1	0	0	0	0	0	0	0	no	0
183	CD22	1	1	1	1	1	0	0	0	no	0
184	CD226	1	1	1	0	0	1	0	0	no	1
185	CD24	1	0	0	0	1	0	0	0	no	1
186	CD247	1	1	0	1	0	0	0	0	no	0
187	CD28	1	1	1	1	0	1	0	0	no	0
188	CD300C	1	1	0	0	0	1	0	0	no	0
189	CD33	1	1	1	0	1	1	0	1	YES	0
190	CD36	1	1	1	1	0	1	1	0	no	1
191	CD37	1	1	1	1	1	1	0	0	no	0
192	CD3D	1	1	1	0	1	0	0	0	no	0
193	CD3E	1	1	0	1	1	1	0	0	no	0
194	CD3G	1	1	1	1	0	1	0	0	no	0
195	CD4	1	1	1	1	1	1	1	1	YES	0
196	CD40	1	1	1	1	0	1	0	0	no	0
197	CD40LG	1	1	1	1	0	1	0	0	no	0
198	CD44	1	1	1	1	1	1	0	1	YES	0
199	CD46	1	1	1	1	0	1	0	1	YES	0
200	CD47	1	1	1	1	1	1	0	1	YES	0
201	CD48	1	1	1	1	1	1	0	1	YES	0
202	CD5	1	1	1	0	0	1	0	0	no	0
203	CD52	1	1	0	1	1	1	0	0	no	0
204	CD53	1	1	1	1	1	1	1	0	no	0
205	CD55	1	1	1	1	0	1	0	0	no	1
206	CD58	1	1	1	1	0	1	0	0	no	0
207	CD59	1	1	1	0	1	1	0	0	no	1
208	CD6	1	1	1	1	0	1	0	0	no	0
209	CD63	1	1	1	1	1	1	0	0	no	1
210	CD69	1	1	1	0	1	1	0	0	no	0
211	CD7	1	1	1	1	1	0	0	0	no	0
212	CD72	1	1	1	1	0	1	0	0	no	1
213	CD79B	1	1	1	1	0	1	1	1	YES	0
214	CD80	1	1	1	0	1	0	0	0	no	0
215	CD82	1	1	1	1	1	1	0	0	no	1
216	CD83	1	1	1	1	1	1	0	0	no	1
217	CD84	1	1	1	1	0	1	0	0	no	0
218	CD86	1	1	1	1	0	0	0	0	no	0
219	CD8A	1	1	0	1	0	1	0	0	no	0
220	CD8B	1	1	0	1	1	1	1	1	YES	0
221	CD9	1	1	0	1	0	1	0	1	YES	0
222	CD96	1	1	1	1	0	1	0	0	no	0
223	CD97	1	0	0	0	0	0	0	0	no	0
224	CD99	1	1	0	1	0	1	0	0	no	1
225	CDC42BPB	1	1	0	0	0	0	0	0	no	0
226	CDC42EP2	1	1	0	0	0	0	0	0	no	1
227	CDC42SE1	1	1	0	0	0	0	0	1	YES	0
228	CDC42SE2	1	1	0	0	0	0	0	0	no	0
229	CDH15	1	1	1	1	0	1	0	0	no	1
230	CDH17	1	1	1	1	0	0	0	0	no	1
231	CDH4	1	0	1	1	0	1	0	1	YES	0
232	CDH5	1	1	1	1	0	1	0	0	no	0
233	CDSN	1	1	1	0	1	0	0	0	no	0
234	CEACAM1	1	1	1	1	0	1	1	0	no	0
235	CEACAM4	1	1	0	1	0	1	0	0	no	0
236	CEACAM6	1	1	1	1	0	1	0	0	no	0
237	CEACAM7	1	1	0	0	0	0	0	0	no	0
238	CEACAM8	1	1	1	0	0	1	0	0	no	0
239	CELSR1	1	1	1	0	0	1	0	1	YES	0
240	CENTA1	1	0	0	0	0	0	0	0	no	0
241	CENTA2	1	0	0	0	0	0	0	0	no	0
242	CFTR	1	1	0	1	1	1	1	0	no	0
243	CGN	1	1	1	0	0	0	0	1	YES	0
244	CHRM1	1	1	0	0	0	1	1	0	no	1
245	CHRM2	1	1	0	1	0	1	1	0	no	0
246	CHRM3	1	1	0	0	0	1	1	1	YES	0
247	CHRM4	1	1	0	1	0	1	1	0	no	1
248	CHRM5	1	1	0	0	0	1	1	0	no	0
249	CHRNA1	1	1	0	1	0	1	1	1	YES	0
250	CHRNA2	1	1	0	1	0	1	1	0	no	0
251	CHRNA3	1	1	1	0	0	1	1	0	no	0
252	CHRNA4	1	1	0	1	0	1	1	0	no	0
253	CHRNA5	1	1	0	0	0	1	1	1	YES	0
254	CHRNA6	1	1	0	0	0	1	1	0	no	0
255	CHRNA7	1	1	0	1	0	1	1	0	no	0
256	CHRNB1	1	1	0	0	0	1	1	0	no	0
257	CHRNB2	1	1	0	1	0	1	1	0	no	0
258	CHRNB3	1	1	0	1	0	1	1	0	no	0
259	CHRNB4	1	1	0	0	0	1	1	0	no	0
260	CHRND	1	1	0	0	0	1	1	1	YES	0
261	CHRNE	1	1	0	1	0	1	1	0	no	0
262	CHRNG	1	1	0	1	0	1	1	0	no	0
263	CLCA1	1	1	0	0	0	1	1	0	no	0
264	CLCA4	1	1	0	0	0	1	1	0	no	0
265	CLCN1	1	1	0	1	0	1	0	0	no	0
266	CLCN2	1	1	1	1	1	1	0	0	no	1
267	CLCN4	1	1	0	1	1	1	0	0	no	1
268	CLCN5	1	1	0	1	0	1	0	1	YES	0
269	CLCN7	1	0	0	1	1	0	0	0	no	1
270	CLCNKA	1	1	0	0	0	1	0	0	no	0
271	CLCNKB	1	1	0	1	0	1	0	0	no	0
272	CLDN1	1	1	0	1	0	1	1	0	no	0
273	CLDN10	1	1	0	1	0	0	0	0	no	0
274	CLDN14	1	1	0	1	0	0	0	0	no	1
275	CLDN16	1	1	0	1	0	0	0	0	no	0
276	CLDN3	1	1	0	0	0	1	0	0	no	1
277	CLDN4	1	1	0	1	0	1	0	1	YES	0
278	CLDN5	1	1	0	0	0	0	0	0	no	0
279	CLDN7	1	1	0	0	0	0	1	0	no	1
280	CLEC10A	1	1	0	1	0	0	0	0	no	0
281	CLEC1A	1	1	1	0	0	1	0	0	no	0
282	CLEC2B	1	1	1	1	0	1	0	0	no	0
283	CLEC2D	1	1	1	1	0	1	0	0	no	1
284	CLEC4A	1	1	0	1	0	1	0	0	no	0
285	CLEC4M	1	1	0	1	0	1	0	0	no	0
286	CLEC5A	1	1	1	1	0	1	0	1	YES	0
287	CLNS1A	1	1	0	0	0	0	0	0	no	1
288	CLPTM1	1	1	1	0	0	1	0	0	no	1
289	CMKLR1	1	1	1	0	0	1	0	0	no	0
290	CNGA1	1	1	0	1	0	1	0	0	no	0
291	CNGA3	1	1	0	0	0	1	0	0	no	0
292	CNGB3	1	1	0	0	0	1	0	0	no	0
293	CNN2	1	0	0	0	0	0	0	0	no	1
294	CNR1	1	1	0	1	1	1	0	0	no	0
295	CNR2	1	1	1	1	1	1	0	0	no	0
296	CNTN2	1	1	0	0	1	1	0	0	no	0
297	COL17A1	1	1	0	1	0	1	1	1	YES	0
298	CORIN	1	1	0	0	0	0	1	1	YES	0
299	COVA1	1	0	0	0	0	0	0	0	no	0
300	CPE	1	1	0	0	0	0	0	0	no	1
301	CPM	1	1	1	0	0	0	0	0	no	1
302	CR1	1	1	1	1	0	1	0	0	no	0
303	CR2	1	1	1	1	1	0	0	0	no	0
304	CRHR1	1	1	0	1	0	1	0	0	no	0
305	CRHR2	1	1	0	0	0	1	0	0	no	0
306	CSF1R	1	1	0	0	1	1	0	1	YES	0
307	CSF2RA	1	1	1	0	0	1	0	0	no	0
308	CSF2RB	1	1	1	0	0	1	0	0	no	1
309	CSF3R	1	1	0	1	1	1	0	0	no	0
310	CSK	1	1	0	0	1	1	0	0	no	1
311	CSPG5	1	1	1	0	0	1	0	0	no	1
312	CTLA4	1	1	0	0	1	1	1	0	no	0
313	CTNNB1	1	1	0	0	0	1	1	1	YES	0
314	CUBN	1	1	0	0	0	1	1	0	no	0
315	CX3CR1	1	1	0	1	0	1	0	0	no	1
316	CXADR	1	1	1	0	0	1	1	1	YES	0
317	CXCR3	1	1	1	0	1	1	0	0	no	0
318	CXCR6	1	1	0	0	0	1	0	0	no	0
319	CYB561	1	0	0	1	0	0	0	0	no	0
320	CYSLTR1	1	1	1	1	0	1	0	0	no	0
321	DAG1	1	1	1	0	1	0	1	0	no	1
322	DARC	1	0	0	0	0	0	0	0	no	0
323	DCAMKL1	1	0	0	0	0	0	0	0	no	0
324	DCC	1	1	0	1	1	0	0	0	no	1
325	DDR1	1	1	0	1	0	1	0	0	no	1
326	DDR2	1	1	1	0	1	1	0	1	YES	0
327	DEGS1	1	1	0	1	0	1	0	0	no	1
328	DGKD	1	1	0	0	1	0	0	0	no	1
329	DLG1	1	1	0	0	0	1	1	1	YES	0
330	DLG2	1	1	0	0	1	1	1	1	YES	0
331	DLG5	1	1	0	0	1	0	1	0	no	1
332	DLL1	1	1	0	1	1	1	1	0	no	1
333	DMD	1	1	0	0	0	0	1	0	no	0
334	DNER	1	1	1	1	0	0	0	0	no	0
335	DNM1	1	1	0	0	0	0	0	0	no	1
336	DRD1	1	0	0	1	0	1	1	0	no	0
337	DRD1IP	1	0	0	0	0	0	0	0	no	0
338	DRD2	1	1	0	1	0	1	0	0	no	0
339	DRD3	1	1	0	1	0	1	0	0	no	0
340	DRD4	1	1	0	0	0	1	0	0	no	0
341	DRD5	1	1	0	0	1	1	0	0	no	0
342	DSC1	1	1	0	1	1	0	0	0	no	0
343	DSC2	1	1	1	1	1	0	0	0	no	0
344	DSC3	1	1	0	1	0	0	0	1	YES	0
345	DSCR2	1	0	0	0	0	0	0	0	no	0
346	DSG1	1	1	0	0	1	0	0	0	no	0
347	DSG2	1	1	1	1	1	0	0	1	YES	0
348	DSG3	1	1	0	0	0	0	0	0	no	0
349	DSP	1	1	0	0	0	0	0	0	no	1
350	DST	1	1	0	0	0	0	1	0	no	1
351	DUOX1	1	1	0	1	1	0	1	0	no	0
352	DUOX2	1	1	0	0	0	0	1	0	no	0
353	DYSF	1	1	0	0	1	0	1	1	YES	0
354	dystrophin	1	0	0	0	0	0	0	0	no	0
355	EBI2	1	0	0	0	0	0	0	0	no	0
356	EBI3	1	1	0	0	0	0	0	0	no	0
357	EBP	1	1	0	0	0	1	0	0	no	1
358	ECEL1	1	1	0	0	0	1	0	0	no	1
359	EDA	1	1	0	0	1	1	0	0	no	1
360	EDG1	1	0	0	0	0	0	0	0	no	0
361	EDG3	1	0	0	0	0	0	0	0	no	0
362	EDG6	1	0	0	0	0	0	0	0	no	0
363	EDNRA	1	1	1	1	1	1	0	0	no	0
364	EDNRB	1	1	0	1	1	1	0	1	YES	0
365	EFNA1	1	1	1	0	0	1	0	0	no	0
366	EFNA3	1	1	0	0	1	1	0	0	no	0
367	EFNA4	1	1	1	1	0	1	0	0	no	1
368	EFNA5	1	1	1	0	1	1	0	0	no	1
369	EFNB1	1	1	1	1	1	1	0	1	YES	0
370	EFNB2	1	1	1	1	1	1	0	0	no	1
371	EFNB3	1	1	1	0	0	1	0	0	no	1
372	EGF	1	1	0	1	0	0	0	0	no	0
373	EGFR	1	1	1	1	0	1	1	1	YES	0
374	ELMO1	1	1	0	0	1	0	1	0	no	0
375	EMR1	1	0	0	0	0	0	0	0	no	0
376	ENG	1	1	1	1	0	1	0	0	no	0
377	ENPEP	1	1	1	0	0	1	0	0	no	1
378	ENPP2	1	1	0	0	1	1	0	0	no	1
379	ENPP3	1	1	1	1	1	1	1	0	no	0
380	ENTPD1	1	1	1	1	0	1	0	0	no	1
381	EPB41	1	1	0	0	0	0	0	1	YES	0
382	EPB42	1	0	0	0	1	0	0	0	no	0
383	EPHA1	1	1	1	0	0	1	0	0	no	0
384	EPHA4	1	1	1	1	1	1	1	0	no	0
385	EPHB1	1	1	1	1	1	1	0	1	YES	0
386	EPHB3	1	1	1	1	1	1	0	0	no	0
387	EPHB4	1	1	1	1	0	1	0	0	no	0
388	EPOR	1	1	0	1	1	1	1	0	no	1
389	EPS15	1	1	0	0	0	0	1	0	no	1
390	ERBB2	1	1	1	1	1	1	0	1	YES	0
391	ERBB3	1	1	1	1	1	1	0	1	YES	0
392	EREG	1	1	0	1	1	1	0	0	no	1
393	EVI2B	1	1	0	0	1	1	0	0	no	0
394	EVL	1	0	0	0	1	0	0	0	no	1
395	EVPL	1	1	0	0	1	0	0	0	no	1
396	F2R	1	1	1	1	0	1	0	0	no	0
397	F2RL1	1	1	0	0	0	1	0	1	YES	0
398	F2RL2	1	1	0	0	0	1	0	0	no	0
399	F3	1	1	1	1	0	1	0	0	no	1
400	FADS2	1	1	0	0	0	1	0	0	no	0
401	FAF1	1	1	0	0	0	0	0	0	no	1
402	FASLG	1	1	0	1	0	1	1	0	no	0
403	FCAR	1	1	1	1	1	1	0	1	YES	0
404	FCER1A	1	1	0	1	0	1	0	0	no	0
405	FCER1G	1	1	0	0	0	1	0	0	no	0
406	FCER2	1	1	1	1	1	1	0	0	no	0
407	FCGR1A	1	1	1	0	0	0	1	0	no	0
408	FCGR2A	1	1	1	1	0	0	0	0	no	0
409	FCGR2B	1	1	1	1	0	1	0	0	no	0
410	FCGR3A	1	1	1	1	0	0	0	0	no	0
411	FER1L3	1	0	0	0	0	0	0	0	no	0
412	FFAR1	1	1	0	1	1	1	0	0	no	0
413	FFAR2	1	1	0	0	1	1	0	0	no	0
414	FFAR3	1	1	0	0	0	1	0	0	no	0
415	FGFR1	1	1	1	1	0	1	0	0	no	1
416	FGFR3	1	1	1	1	1	1	0	0	no	1
417	FGFR4	1	1	1	0	1	1	1	0	no	0
418	FLOT1	1	1	0	0	1	0	0	1	YES	0
419	FLOT2	1	1	0	0	0	0	0	0	no	0
420	FLRT1	1	1	1	0	0	1	1	0	no	0
421	FLRT2	1	1	1	1	1	1	0	0	no	0
422	FLRT3	1	1	0	1	0	1	0	1	YES	0
423	FLT1	1	1	1	0	0	1	0	1	YES	0
424	FLT3	1	1	1	1	1	1	1	0	no	1
425	FLT4	1	1	1	0	0	1	0	1	YES	0
426	FLVCR1	1	1	0	1	0	1	0	0	no	1
427	FOLH1	1	1	0	1	0	1	0	0	no	0
428	FOLR1	1	1	1	0	1	1	1	0	no	1
429	FPR1	1	1	0	1	0	1	0	0	no	1
430	FPRL1	1	0	0	0	0	0	0	0	no	0
431	FPRL2	1	0	0	0	0	0	0	0	no	0
432	FRS2	1	0	0	0	0	1	0	0	no	1
433	FSHR	1	1	0	1	1	1	0	0	no	0
434	FTH1	1	0	0	0	0	0	0	0	no	1
435	FUT1	1	1	0	1	0	1	0	0	no	0
436	FXYD1	1	1	0	1	0	1	1	0	no	1
437	FXYD2	1	1	0	1	0	1	0	0	no	1
438	FXYD3	1	1	0	1	1	1	0	0	no	0
439	GABARAP	1	1	0	0	0	0	0	0	no	1
440	GABBR1	1	1	0	1	0	1	1	0	no	1
441	GABBR2	1	1	0	0	0	1	1	0	no	0
442	GABRA1	1	1	0	1	0	1	1	0	no	0
443	GABRA2	1	1	1	1	0	1	1	0	no	0
444	GABRA3	1	0	0	1	0	1	1	0	no	0
445	GABRA4	1	1	0	0	0	1	1	0	no	0
446	GABRA5	1	1	0	1	0	1	1	1	YES	0
447	GABRA6	1	1	0	0	0	1	1	0	no	0
448	GABRB1	1	1	0	0	0	1	1	0	no	0
449	GABRB2	1	1	0	1	0	1	1	0	no	0
450	GABRD	1	1	0	1	0	1	1	0	no	1
451	GABRE	1	1	0	1	0	1	1	0	no	0
452	GABRG2	1	1	0	1	0	1	1	0	no	0
453	GABRQ	1	0	0	0	0	1	1	0	no	0
454	GABRR1	1	1	0	1	0	1	1	0	no	0
455	GAL3ST1	1	1	0	0	0	1	0	0	no	1
456	GALNT8	1	0	0	1	1	1	0	0	no	1
457	GALR1	1	1	0	1	1	1	0	0	no	0
458	GALR2	1	1	0	0	1	1	0	0	no	0
459	GALR3	1	1	0	0	0	1	0	0	no	0
460	GAS1	1	1	0	0	1	1	0	0	no	1
461	GCGR	1	1	0	0	0	1	0	0	no	1
462	GHR	1	1	0	1	1	1	1	1	YES	0
463	GHRHR	1	1	0	0	1	0	0	0	no	0
464	GHSR	1	1	0	0	1	0	0	0	no	0
465	GIPR	1	1	0	0	1	0	0	0	no	0
466	GJA1	1	1	0	1	0	1	0	0	no	1
467	GJA8	1	0	0	1	0	1	0	0	no	0
468	GJB1	1	1	0	1	0	0	0	0	no	0
469	GJC1	1	1	0	1	0	0	0	0	no	1
470	GLP1R	1	1	0	1	0	1	0	0	no	0
471	GLP2R	1	1	0	0	1	0	0	1	YES	0
472	GLRA1	1	1	0	0	0	1	1	0	no	0
473	GLRA2	1	1	0	1	1	1	1	0	no	0
474	GLRA3	1	1	0	1	1	1	1	0	no	0
475	GLRB	1	1	0	0	1	1	1	0	no	0
476	GML	1	1	0	0	0	0	0	0	no	0
477	GNA11	1	1	0	0	0	1	0	0	no	0
478	GNA14	1	1	0	0	0	1	0	0	no	0
479	GNA15	1	1	0	0	1	1	0	0	no	0
480	GNAI1	1	1	0	0	0	1	1	0	no	1
481	GNAI2	1	1	0	0	0	1	0	1	YES	0
482	GNAQ	1	1	0	0	1	1	0	1	YES	0
483	GNAS	1	1	0	0	0	1	1	1	YES	0
484	GNAT2	1	1	0	0	1	1	0	0	no	0
485	GNB5	1	1	0	0	0	0	0	0	no	1
486	GNG4	1	1	0	0	0	1	0	0	no	0
487	GNGT2	1	1	0	0	0	1	0	0	no	0
488	GNRHR	1	1	0	1	1	1	0	0	no	0
489	GOLPH2	1	0	0	0	0	0	0	0	no	0
490	GOPC	1	1	0	0	1	0	1	0	no	1
491	GP1BA	1	1	0	1	0	1	0	0	no	0
492	GP1BB	1	1	0	0	1	1	0	0	no	0
493	GP5	1	0	1	1	0	1	0	0	no	0
494	GP6	1	1	0	1	0	1	0	0	no	1
495	GP9	1	1	0	0	0	1	0	0	no	0
496	GPA33	1	1	0	1	1	1	0	0	no	0
497	GPC1	1	1	1	0	1	1	1	1	YES	0
